Player,Team,GP,W,L,MIN,PassesMade,PassesReceived,AST,SecondaryAST,PotentialAST,AST PTSCreated...13,ASTAdj,AST ToPass%,AST ToPass% Adj,game_date
Mario Hezonja,ORL,1,0,1,8.3,8,5,1,0,1,2,1,12.5,12.5,12%2F09%2F2015
Marvin Williams,CHA,1,1,0,22.9,35,29,0,0,0,0,0,0,0,12%2F09%2F2015
Matt Barnes,MEM,1,1,0,30.2,45,26,3,0,4,4,2,6.7,4.4,12%2F09%2F2015
Matt Bonner,SAS,1,0,1,0.3,1,0,0,0,0,0,0,0,0,12%2F09%2F2015
Michael Carter-Williams,MIL,1,0,1,32.1,63,76,11,2,17,25,15,17.5,23.8,12%2F09%2F2015
Mike Conley,MEM,1,1,0,29.2,58,68,8,0,12,18,9,13.8,15.5,12%2F09%2F2015
Mike Muscala,ATL,1,1,0,11.3,16,12,1,0,2,2,1,6.3,6.3,12%2F09%2F2015
Mirza Teletovic,PHX,1,1,0,28.5,40,33,3,0,3,6,3,7.5,7.5,12%2F09%2F2015
Nemanja Bjelica,MIN,1,1,0,20.8,35,14,2,0,2,5,2,5.7,5.7,12%2F09%2F2015
Nick Young,LAL,1,0,1,28.5,15,19,2,0,3,5,2,13.3,13.3,12%2F09%2F2015
Nicolas Batum,CHA,1,1,0,27.9,48,41,11,0,15,25,11,22.9,22.9,12%2F09%2F2015
Nikola Mirotic,CHI,1,0,1,22.2,32,26,2,1,4,5,3,6.3,9.4,12%2F09%2F2015
Nikola Vucevic,ORL,1,0,1,37.9,44,42,2,1,9,7,4,4.5,9.1,12%2F09%2F2015
O.J. Mayo,MIL,1,0,1,36.1,47,50,8,2,9,17,10,17,21.3,12%2F09%2F2015
Otto Porter Jr.,WAS,1,0,1,29.5,25,22,1,0,2,3,2,4,8,12%2F09%2F2015
P.J. Tucker,PHX,1,1,0,31.7,23,19,0,0,4,4,2,0,8.7,12%2F09%2F2015
PJ Hairston,MEM,1,1,0,16.4,10,11,0,0,1,0,0,0,0,12%2F09%2F2015
Patrick Beverley,HOU,1,1,0,37.4,54,59,4,0,8,9,4,7.4,7.4,12%2F09%2F2015
Patrick Patterson,TOR,1,1,0,34.3,46,27,1,0,1,0,0,2.2,0,12%2F09%2F2015
Patty Mills,SAS,1,0,1,21.9,47,50,6,2,6,16,9,12.8,19.1,12%2F09%2F2015
Pau Gasol,CHI,1,0,1,33.3,43,48,4,0,6,8,4,9.3,9.3,12%2F09%2F2015
Paul Millsap,ATL,1,1,0,35.8,43,36,5,0,9,13,5,11.6,11.6,12%2F09%2F2015
Paul Pierce,LAC,1,1,0,5.9,8,6,0,0,0,0,0,0,0,12%2F09%2F2015
Ramon Sessions,WAS,1,0,1,15.9,24,25,1,0,5,3,2,4.2,8.3,12%2F09%2F2015
Rashad Vaughn,MIL,1,0,1,17.5,13,8,1,1,1,2,2,7.7,15.4,12%2F09%2F2015
Raul Neto,UTA,1,1,0,23,44,44,6,0,11,14,6,13.6,13.6,12%2F09%2F2015
Raymond Felton,DAL,1,0,1,30.2,49,49,5,0,11,14,6,10.2,12.2,12%2F09%2F2015
Reggie Jackson,DET,1,0,1,32.3,50,63,7,0,14,16,7,14,14,12%2F09%2F2015
Ricky Rubio,MIN,1,1,0,33.2,69,69,12,2,24,29,15,17.4,21.7,12%2F09%2F2015
Robert Sacre,LAL,1,0,1,18.8,12,8,0,0,0,0,0,0,0,12%2F09%2F2015
Robin Lopez,NYK,1,0,1,18.8,21,14,0,0,1,0,0,0,0,12%2F09%2F2015
Rodney Hood,UTA,1,1,0,29.1,43,41,3,0,8,10,4,7,9.3,12%2F09%2F2015
Ronnie Price,PHX,1,1,0,11.1,17,20,1,1,5,2,2,5.9,11.8,12%2F09%2F2015
Roy Hibbert,LAL,1,0,1,31.9,34,19,1,0,2,2,1,2.9,2.9,12%2F09%2F2015
Sasha Vujacic,NYK,1,0,1,26.7,38,42,7,0,13,17,8,18.4,21.1,12%2F09%2F2015
Shabazz Muhammad,MIN,1,1,0,15.3,10,15,1,0,1,2,1,10,10,12%2F09%2F2015
Shabazz Napier,ORL,1,0,1,14.6,30,36,4,0,5,12,5,13.3,16.7,12%2F09%2F2015
Spencer Hawes,CHA,1,1,0,17.2,16,14,0,0,1,1,1,0,6.3,12%2F09%2F2015
Stanley Johnson,DET,1,0,1,17.4,25,17,0,1,2,0,1,0,4,12%2F09%2F2015
Steve Blake,DET,1,0,1,15.7,30,38,1,0,9,4,2,3.3,6.7,12%2F09%2F2015
T.J. Warren,PHX,1,1,0,13.3,12,10,1,0,5,3,2,8.3,16.7,12%2F09%2F2015
Taj Gibson,CHI,1,0,1,19.8,26,19,1,0,3,3,1,3.8,3.8,12%2F09%2F2015
Tayshaun Prince,MIN,1,1,0,14.7,6,4,1,0,3,2,1,16.7,16.7,12%2F09%2F2015
Terrence Jones,HOU,1,1,0,20,27,18,0,0,3,1,1,0,3.7,12%2F09%2F2015
Terrence Ross,TOR,1,1,0,26.9,15,18,0,1,0,0,1,0,6.7,12%2F09%2F2015
Thabo Sefolosha,ATL,1,1,0,25.6,29,27,2,1,4,4,3,6.9,10.3,12%2F09%2F2015
Tiago Splitter,ATL,1,1,0,12,14,10,2,0,2,4,2,14.3,14.3,12%2F09%2F2015
Tim Duncan,SAS,1,0,1,20.2,23,26,2,0,4,6,3,8.7,13,12%2F09%2F2015
Tobias Harris,DET,1,0,1,33.2,29,39,3,0,6,8,3,10.3,10.3,12%2F09%2F2015
Tony Allen,MEM,1,1,0,22.1,14,12,1,0,1,2,1,7.1,7.1,12%2F09%2F2015
Tony Parker,SAS,1,0,1,30.1,67,65,3,1,10,7,4,4.5,6,12%2F09%2F2015
Tony Snell,CHI,1,0,1,21.7,19,20,3,2,4,4,4,15.8,21.1,12%2F09%2F2015
Trevor Booker,UTA,1,1,0,17.6,23,16,1,0,3,3,1,4.3,4.3,12%2F09%2F2015
Trey Burke,UTA,1,1,0,23.3,38,50,5,0,7,11,5,13.2,13.2,12%2F09%2F2015
Trey Lyles,UTA,1,1,0,29.1,44,35,1,1,3,3,2,2.3,4.5,12%2F09%2F2015
Troy Daniels,CHA,1,1,0,8.9,8,12,1,0,3,2,1,12.5,12.5,12%2F09%2F2015
Ty Lawson,IND,1,1,0,20.9,35,37,2,0,5,5,2,5.7,5.7,12%2F09%2F2015
Tyler Hansbrough,CHA,1,1,0,10.2,1,5,0,0,0,0,0,0,0,12%2F09%2F2015
Tyler Johnson,MIA,1,0,1,29.1,48,59,2,0,5,5,2,4.2,4.2,12%2F09%2F2015
Udonis Haslem,MIA,1,0,1,16.2,24,18,1,0,1,2,1,4.2,4.2,12%2F09%2F2015
Victor Oladipo,ORL,1,0,1,28.5,35,44,5,0,6,13,5,14.3,14.3,12%2F09%2F2015
Wesley Johnson,LAC,1,1,0,18.5,13,16,0,0,1,1,1,0,7.7,12%2F09%2F2015
Wesley Matthews,DAL,1,0,1,35.6,38,41,1,0,5,2,1,2.6,2.6,12%2F09%2F2015
Zach LaVine,MIN,1,1,0,19.8,37,41,2,2,9,8,5,5.4,13.5,12%2F09%2F2015
Zach Randolph,MEM,1,1,0,35.1,38,38,1,1,3,3,2,2.6,5.3,12%2F09%2F2015
Zaza Pachulia,DAL,1,0,1,37.8,33,18,1,0,2,2,1,3,3,12%2F09%2F2015
Aaron Brooks,CHI,1,1,0,20.7,30,38,2,0,9,6,3,6.7,10,12%2F10%2F2015
Al Horford,ATL,1,0,1,32.7,39,33,3,0,4,8,3,7.7,7.7,12%2F10%2F2015
Andre Roberson,OKC,1,1,0,20.8,11,11,1,0,1,3,1,9.1,9.1,12%2F10%2F2015
Andrea Bargnani,BKN,1,1,0,23.3,28,19,1,0,1,2,1,3.6,3.6,12%2F10%2F2015
Anthony Morrow,OKC,1,1,0,14.5,6,8,0,0,0,0,0,0,0,12%2F10%2F2015
Arron Afflalo,NYK,1,0,1,32.7,37,50,2,0,5,5,2,5.4,5.4,12%2F10%2F2015
Austin Rivers,LAC,1,0,1,17.2,30,28,1,1,2,0,1,3.3,3.3,12%2F10%2F2015
Ben McLemore,SAC,1,1,0,23.6,18,14,0,0,1,0,0,0,0,12%2F10%2F2015
Blake Griffin,LAC,1,0,1,24.8,48,42,2,0,9,6,2,4.2,4.2,12%2F10%2F2015
Bojan Bogdanovic,BKN,1,1,0,32.6,24,26,3,0,4,8,3,12.5,12.5,12%2F10%2F2015
Brook Lopez,BKN,1,1,0,19.1,14,17,1,0,2,3,1,7.1,7.1,12%2F10%2F2015
Cameron Payne,OKC,1,1,0,0.7,1,2,0,0,0,0,0,0,0,12%2F10%2F2015
Carmelo Anthony,NYK,1,0,1,39.4,54,65,4,1,13,14,8,7.4,14.8,12%2F10%2F2015
Chris Paul,LAC,1,0,1,30.8,50,66,5,2,9,11,7,10,14,12%2F10%2F2015
D.J. Augustin,DEN,1,1,0,8.9,17,15,0,0,1,0,0,0,0,12%2F10%2F2015
Darren Collison,SAC,1,1,0,24.9,23,34,3,0,7,7,3,13,13,12%2F10%2F2015
DeAndre Jordan,LAC,1,0,1,36.5,34,14,0,1,2,0,1,0,2.9,12%2F10%2F2015
DeMarcus Cousins,SAC,1,1,0,36.7,28,41,2,1,2,3,2,7.1,7.1,12%2F10%2F2015
Dennis Schroder,ATL,1,0,1,18.7,39,39,2,1,11,6,4,5.1,10.3,12%2F10%2F2015
Derrick Rose,CHI,1,1,0,27.5,47,54,2,0,10,8,3,4.3,6.4,12%2F10%2F2015
Derrick Williams,NYK,1,0,1,6.2,8,8,0,0,4,2,1,0,12.5,12%2F10%2F2015
Dion Waiters,OKC,1,1,0,30.6,13,24,1,0,2,3,1,7.7,7.7,12%2F10%2F2015
Doug McDermott,CHI,1,1,0,16.3,10,14,0,0,0,0,0,0,0,12%2F10%2F2015
Enes Kanter,OKC,1,1,0,10.5,17,12,0,0,0,0,0,0,0,12%2F10%2F2015
Hollis Thompson,PHI,1,0,1,25.1,24,23,2,0,5,7,3,8.3,12.5,12%2F10%2F2015
Isaiah Canaan,PHI,1,0,1,25.3,42,45,3,0,8,8,4,7.1,9.5,12%2F10%2F2015
JJ Redick,LAC,1,0,1,29.4,31,40,4,1,5,11,5,12.9,16.1,12%2F10%2F2015
Jahlil Okafor,PHI,1,0,1,31.3,31,37,2,1,3,6,4,6.5,12.9,12%2F10%2F2015
Jamal Crawford,LAC,1,0,1,22.1,23,26,2,0,5,6,2,8.7,8.7,12%2F10%2F2015
Jarrett Jack,BKN,1,1,0,27.1,41,44,8,0,10,18,9,19.5,22,12%2F10%2F2015
Jeff Teague,ATL,1,0,1,32.3,61,65,4,1,12,10,6,6.6,9.8,12%2F10%2F2015
Jerami Grant,PHI,1,0,1,24.3,36,28,0,1,2,0,1,0,2.8,12%2F10%2F2015
Jerian Grant,NYK,1,0,1,3.2,7,7,0,0,0,0,0,0,0,12%2F10%2F2015
Jimmy Butler,CHI,1,1,0,37.5,49,55,8,1,11,17,9,16.3,18.4,12%2F10%2F2015
Joakim Noah,CHI,1,1,0,20.1,35,26,2,1,8,4,3,5.7,8.6,12%2F10%2F2015
Joe Johnson,MIA,1,1,0,33.3,21,29,2,0,1,0,0,9.5,0,12%2F10%2F2015
Jose Calderon,NYK,1,0,1,31.8,65,63,3,0,8,8,3,4.6,4.6,12%2F10%2F2015
Josh Smith,HOU,1,0,1,18.7,25,23,3,0,4,8,4,12,16,12%2F10%2F2015
Justin Holiday,CHI,1,0,1,1.7,0,1,0,0,0,0,0,0,0,12%2F10%2F2015
Kent Bazemore,ATL,1,0,1,27.6,37,43,2,0,4,5,2,5.4,5.4,12%2F10%2F2015
Kevin Durant,OKC,1,1,0,36.8,42,44,10,0,14,22,10,23.8,23.8,12%2F10%2F2015
Kirk Hinrich,ATL,1,1,0,19.8,29,31,3,0,6,8,3,10.3,10.3,12%2F10%2F2015
Kosta Koufos,SAC,1,1,0,14.9,10,7,0,0,0,0,0,0,0,12%2F10%2F2015
Kristaps Porzingis,NYK,1,0,1,33.9,43,36,2,0,4,3,1,4.7,2.3,12%2F10%2F2015
Kyle Korver,ATL,1,0,1,34.5,33,34,4,0,3,9,4,12.1,12.1,12%2F10%2F2015
Kyle O'Quinn,NYK,1,0,1,12.5,28,19,3,0,5,8,4,10.7,14.3,12%2F10%2F2015
Kyle Singler,OKC,1,1,0,0.7,1,0,0,0,0,0,0,0,0,12%2F10%2F2015
Lamar Patterson,ATL,1,0,1,3.8,1,1,0,0,0,0,0,0,0,12%2F10%2F2015
Lance Stephenson,MEM,1,0,1,18.4,17,17,4,0,5,11,4,23.5,23.5,12%2F10%2F2015
Lance Thomas,NYK,1,0,1,23.9,22,20,2,0,2,5,2,9.1,9.1,12%2F10%2F2015
Langston Galloway,NYK,1,0,1,18.1,32,35,0,0,3,2,1,0,3.1,12%2F10%2F2015
Luc Mbah a Moute,LAC,1,0,1,21.5,12,14,1,0,3,2,1,8.3,8.3,12%2F10%2F2015
Marco Belinelli,SAC,1,1,0,19.9,10,19,2,0,2,5,2,20,20,12%2F10%2F2015
Markel Brown,BKN,1,1,0,16.3,15,18,1,0,3,2,1,6.7,6.7,12%2F10%2F2015
Mike Muscala,ATL,1,0,1,20.4,23,25,1,0,1,3,1,4.3,4.3,12%2F10%2F2015
Nerlens Noel,PHI,1,0,1,21,29,16,1,0,3,2,1,3.4,3.4,12%2F10%2F2015
Nick Collison,OKC,1,1,0,11.3,13,11,1,0,4,4,2,7.7,15.4,12%2F10%2F2015
Nik Stauskas,PHI,1,0,1,28.2,41,43,5,0,8,13,6,12.2,14.6,12%2F10%2F2015
Nikola Mirotic,CHI,1,1,0,14.5,32,24,1,0,2,2,1,3.1,3.1,12%2F10%2F2015
Omri Casspi,SAC,1,1,0,40.3,52,35,3,1,4,8,5,5.8,9.6,12%2F10%2F2015
Pau Gasol,CHI,1,1,0,32.8,62,53,0,1,5,4,3,0,4.8,12%2F10%2F2015
Paul Millsap,ATL,1,0,1,33.5,50,40,4,0,13,10,5,8,10,12%2F10%2F2015
Paul Pierce,LAC,1,0,1,5.3,9,8,0,0,2,0,0,0,0,12%2F10%2F2015
Rajon Rondo,SAC,1,1,0,40.3,92,83,12,2,31,26,14,13,15.2,12%2F10%2F2015
Richaun Holmes,PHI,1,0,1,17,9,11,1,0,1,3,1,11.1,11.1,12%2F10%2F2015
Robert Covington,PHI,1,0,1,26.9,25,28,0,0,1,0,0,0,0,12%2F10%2F2015
Robin Lopez,NYK,1,0,1,20,33,24,1,0,4,2,1,3,3,12%2F10%2F2015
Rudy Gay,SAC,1,1,0,39.5,28,28,2,0,2,4,2,7.1,7.1,12%2F10%2F2015
Russell Westbrook,OKC,1,1,0,38.5,58,68,10,1,23,25,13,17.2,22.4,12%2F10%2F2015
Sasha Vujacic,NYK,1,0,1,18.4,31,33,0,1,3,0,1,0,3.2,12%2F10%2F2015
Serge Ibaka,OKC,1,1,0,36,23,26,0,0,0,0,0,0,0,12%2F10%2F2015
Shane Larkin,BKN,1,1,0,26.7,41,46,6,0,12,14,6,14.6,14.6,12%2F10%2F2015
Steven Adams,OKC,1,1,0,30.8,37,18,1,0,3,2,1,2.7,2.7,12%2F10%2F2015
T.J. McConnell,PHI,1,0,1,24.2,71,73,1,0,14,2,1,1.4,1.4,12%2F10%2F2015
Taj Gibson,CHI,1,1,0,28.6,25,24,2,0,3,5,2,8,8,12%2F10%2F2015
Thabo Sefolosha,ATL,1,0,1,34.9,40,42,1,0,2,3,1,2.5,2.5,12%2F10%2F2015
Thaddeus Young,BKN,1,1,0,32.9,46,37,0,0,1,0,0,0,0,12%2F10%2F2015
Thomas Robinson,BKN,1,1,0,6.7,7,4,0,0,0,0,0,0,0,12%2F10%2F2015
Tony Snell,CHI,1,1,0,22.2,9,9,0,0,3,0,0,0,0,12%2F10%2F2015
Tony Wroten,NYK,1,0,1,16.9,37,41,2,0,5,2,1,5.4,2.7,12%2F10%2F2015
Wayne Ellington,BKN,1,1,0,9.5,7,5,0,0,0,0,0,0,0,12%2F10%2F2015
Wesley Johnson,LAC,1,0,1,15.4,8,9,0,0,2,0,0,0,0,12%2F10%2F2015
Willie Reed,BKN,1,1,0,12.7,11,10,0,1,0,0,1,0,9.1,12%2F10%2F2015
Aaron Gordon,ORL,1,0,1,31.4,27,22,2,0,2,3,1,7.4,3.7,12%2F11%2F2015
Aaron Harrison,CHA,1,1,0,3.5,2,3,0,0,0,0,0,0,0,12%2F11%2F2015
Al-Farouq Aminu,POR,1,1,0,30.2,30,19,1,1,1,2,2,3.3,6.7,12%2F11%2F2015
Alec Burks,UTA,1,0,1,26.8,30,45,5,0,6,11,5,16.7,16.7,12%2F11%2F2015
Alex Len,PHX,1,0,1,27.5,22,17,1,0,4,2,1,4.5,4.5,12%2F11%2F2015
Alexis Ajinca,NOP,1,1,0,22.5,38,24,0,0,1,0,0,0,0,12%2F11%2F2015
Allen Crabbe,POR,1,1,0,28.4,27,28,1,0,3,2,1,3.7,3.7,12%2F11%2F2015
Alonzo Gee,NOP,1,1,0,17.4,14,10,2,0,3,6,2,14.3,14.3,12%2F11%2F2015
Amar'e Stoudemire,MIA,1,0,1,7.1,3,3,0,0,0,0,0,0,0,12%2F11%2F2015
Amir Johnson,BOS,1,0,1,19.1,28,19,0,1,0,0,1,0,3.6,12%2F11%2F2015
Anderson Varejao,GSW,1,1,0,10.4,17,14,1,0,2,3,1,5.9,5.9,12%2F11%2F2015
Andre Drummond,DET,1,1,0,32.9,11,13,0,0,2,0,0,0,0,12%2F11%2F2015
Andre Iguodala,GSW,1,1,0,43.9,49,45,5,0,11,12,6,10.2,12.2,12%2F11%2F2015
Andre Roberson,OKC,1,1,0,22.7,13,13,0,0,0,0,0,0,0,12%2F11%2F2015
Andrew Bogut,GSW,1,1,0,23.3,31,24,1,0,4,3,1,3.2,3.2,12%2F11%2F2015
Andrew Nicholson,ORL,1,0,1,23.2,24,19,0,0,1,0,0,0,0,12%2F11%2F2015
Andrew Wiggins,MIN,1,0,1,34.6,23,40,1,1,3,4,3,4.3,13,12%2F11%2F2015
Anthony Brown,LAL,1,0,1,5.5,4,3,0,0,0,0,0,0,0,12%2F11%2F2015
Anthony Davis,NOP,1,1,0,39.3,38,34,2,1,4,4,3,5.3,7.9,12%2F11%2F2015
Anthony Morrow,OKC,1,1,0,9.1,4,2,0,0,0,0,0,0,0,12%2F11%2F2015
Anthony Tolliver,DET,1,1,0,22.4,28,14,1,0,4,3,1,3.6,3.6,12%2F11%2F2015
Aron Baynes,DET,1,1,0,15.1,12,15,1,1,3,2,2,8.3,16.7,12%2F11%2F2015
Avery Bradley,BOS,1,0,1,34.4,11,30,1,0,0,2,1,9.1,9.1,12%2F11%2F2015
Beno Udrih,MEM,1,0,1,14.2,30,34,1,0,4,5,3,3.3,10,12%2F11%2F2015
Bismack Biyombo,TOR,1,1,0,33.9,34,15,0,1,2,0,1,0,2.9,12%2F11%2F2015
Boban Marjanovic,SAS,1,1,0,5.5,5,6,0,0,0,0,0,0,0,12%2F11%2F2015
Boris Diaw,SAS,1,1,0,25.5,41,33,1,1,2,2,2,2.4,4.9,12%2F11%2F2015
Brandon Bass,LAL,1,0,1,5.5,0,3,0,0,0,0,0,0,0,12%2F11%2F2015
Brandon Knight,PHX,1,0,1,32.8,57,61,10,1,13,26,11,17.5,19.3,12%2F11%2F2015
Brandon Rush,GSW,1,1,0,16.1,16,15,0,0,0,0,0,0,0,12%2F11%2F2015
Brian Roberts,POR,1,1,0,3.5,10,11,2,1,2,6,3,20,30,12%2F11%2F2015
CJ McCollum,POR,1,1,0,34.1,49,57,4,1,10,10,5,8.2,10.2,12%2F11%2F2015
CJ Miles,IND,1,1,0,34.2,36,39,2,0,6,4,2,5.6,5.6,12%2F11%2F2015
Channing Frye,CLE,1,0,1,11.6,13,12,0,0,0,0,0,0,0,12%2F11%2F2015
Chase Budinger,PHX,1,1,0,13.2,12,15,3,0,4,7,3,25,25,12%2F11%2F2015
Chris Bosh,MIA,1,0,1,36.1,46,47,0,0,3,0,0,0,0,12%2F11%2F2015
Cody Zeller,CHA,1,1,0,21.8,11,10,3,0,2,6,2,27.3,18.2,12%2F11%2F2015
Cory Jefferson,PHX,1,0,1,11,6,3,0,0,0,0,0,0,0,12%2F11%2F2015
Cory Joseph,TOR,1,1,0,32.3,59,65,3,1,11,6,4,5.1,6.8,12%2F11%2F2015
Courtney Lee,CHA,1,0,1,25.7,27,34,1,1,4,2,2,3.7,7.4,12%2F11%2F2015
D'Angelo Russell,LAL,1,0,1,36.3,54,64,6,0,9,14,6,11.1,11.1,12%2F11%2F2015
D.J. Augustin,DEN,1,1,0,13,23,28,1,0,1,2,1,4.3,4.3,12%2F11%2F2015
Damian Lillard,POR,1,1,0,35.4,58,76,7,0,17,16,7,12.1,12.1,12%2F11%2F2015
Damjan Rudez,MIN,1,0,1,6.5,4,3,0,0,0,0,0,0,0,12%2F11%2F2015
Danilo Gallinari,DEN,1,1,0,42.4,43,42,4,1,6,8,5,9.3,11.6,12%2F11%2F2015
Danny Green,SAS,1,1,0,18.2,32,29,0,0,2,0,0,0,0,12%2F11%2F2015
Dante Cunningham,NOP,1,1,0,18.9,13,9,0,0,0,0,0,0,0,12%2F11%2F2015
Darrun Hilliard,DET,1,1,0,8.9,3,8,0,0,1,0,0,0,0,12%2F11%2F2015
David Lee,DAL,1,0,1,15.7,27,26,4,0,2,9,4,14.8,14.8,12%2F11%2F2015
David West,SAS,1,1,0,17.7,25,20,2,0,5,6,3,8,12,12%2F11%2F2015
DeJuan Blair,WAS,1,0,1,7.1,5,7,0,0,0,0,0,0,0,12%2F11%2F2015
DeMar DeRozan,TOR,1,1,0,34.8,37,57,1,2,6,2,3,2.7,8.1,12%2F11%2F2015
Derrick Favors,UTA,1,0,1,36.5,58,48,1,0,1,3,1,1.7,1.7,12%2F11%2F2015
Devin Booker,PHX,1,0,1,22.1,14,16,1,0,3,2,1,7.1,7.1,12%2F11%2F2015
Dewayne Dedmon,ORL,1,0,1,20.1,17,12,0,0,0,0,0,0,0,12%2F11%2F2015
Dion Waiters,OKC,1,1,0,29.7,17,23,1,0,4,3,1,5.9,5.9,12%2F11%2F2015
Draymond Green,GSW,1,1,0,49.6,99,86,8,0,15,18,8,8.1,8.1,12%2F11%2F2015
Dwyane Wade,MIA,1,0,1,34.1,40,54,5,0,11,12,5,12.5,12.5,12%2F11%2F2015
Ed Davis,POR,1,1,0,21.4,17,10,0,0,1,0,0,0,0,12%2F11%2F2015
Elfrid Payton,ORL,1,0,1,20.1,40,43,2,0,5,6,3,5,7.5,12%2F11%2F2015
Elijah Millsap,UTA,1,0,1,7.8,9,9,0,0,1,0,0,0,0,12%2F11%2F2015
Emmanuel Mudiay,DEN,1,1,0,12.2,22,29,1,0,4,6,3,4.5,13.6,12%2F11%2F2015
Enes Kanter,OKC,1,1,0,23.7,31,17,1,0,1,3,1,3.2,3.2,12%2F11%2F2015
Eric Bledsoe,PHX,1,0,1,35.4,51,68,5,2,11,14,9,9.8,17.6,12%2F11%2F2015
Eric Gordon,NOP,1,1,0,36.4,26,35,1,0,3,2,1,3.8,3.8,12%2F11%2F2015
Ersan Ilyasova,ORL,1,1,0,25.7,28,23,2,0,2,5,2,7.1,7.1,12%2F11%2F2015
Evan Fournier,ORL,1,0,1,17.2,21,18,1,1,1,2,2,4.8,9.5,12%2F11%2F2015
Evan Turner,BOS,1,0,1,36.4,58,56,6,1,15,14,7,10.3,12.1,12%2F11%2F2015
Festus Ezeli,GSW,1,1,0,27.5,31,25,0,0,0,0,0,0,0,12%2F11%2F2015
Frank Kaminsky,CHA,1,1,0,27.2,40,21,3,0,5,8,3,7.5,7.5,12%2F11%2F2015
Garrett Temple,WAS,1,0,1,28.4,23,29,3,0,6,9,4,13,17.4,12%2F11%2F2015
Gary Harris,DEN,1,1,0,44.4,19,32,1,0,2,3,2,5.3,10.5,12%2F11%2F2015
Gary Neal,WAS,1,0,1,26.2,26,28,2,0,6,8,3,7.7,11.5,12%2F11%2F2015
George Hill,IND,1,1,0,31.3,55,53,4,1,7,9,5,7.3,9.1,12%2F11%2F2015
Gerald Green,MIA,1,0,1,27.9,21,20,0,0,3,2,1,0,4.8,12%2F11%2F2015
Gerald Henderson,POR,1,1,0,24.2,19,24,2,1,3,4,3,10.5,15.8,12%2F11%2F2015
Giannis Antetokounmpo,MIL,1,0,1,42.8,56,50,3,0,3,6,3,5.4,5.4,12%2F11%2F2015
Goran Dragic,MIA,1,0,1,31.5,70,72,7,0,19,16,8,10,11.4,12%2F11%2F2015
Gordon Hayward,UTA,1,0,1,36.2,51,53,3,1,10,6,4,5.9,7.8,12%2F11%2F2015
Gorgui Dieng,MIN,1,0,1,23,18,17,1,0,2,3,1,5.6,5.6,12%2F11%2F2015
Greg Monroe,MIL,1,0,1,33,43,33,2,1,8,9,5,4.7,11.6,12%2F11%2F2015
Hassan Whiteside,MIA,1,0,1,17.5,15,6,0,0,0,0,0,0,0,12%2F11%2F2015
Hollis Thompson,PHI,1,0,1,28.1,21,24,0,0,3,0,0,0,0,12%2F11%2F2015
Ian Clark,GSW,1,1,0,19.2,19,24,0,0,3,0,0,0,0,12%2F11%2F2015
Ian Mahinmi,IND,1,1,0,36,48,39,2,0,5,8,3,4.2,6.3,12%2F11%2F2015
Iman Shumpert,CLE,1,1,0,24.6,21,26,0,0,2,0,0,0,0,12%2F11%2F2015
Isaiah Canaan,PHI,1,0,1,22.8,33,35,2,0,2,6,2,6.1,6.1,12%2F11%2F2015
Isaiah Thomas,BOS,1,0,1,46,101,117,10,0,18,27,11,9.9,10.9,12%2F11%2F2015
Ish Smith,PHI,1,1,0,15.4,26,27,4,1,6,12,5,15.4,19.2,12%2F11%2F2015
JaKarr Sampson,DEN,1,0,1,11.7,6,10,1,0,1,3,1,16.7,16.7,12%2F11%2F2015
JaMychal Green,MEM,1,0,1,17,11,10,0,0,0,0,0,0,0,12%2F11%2F2015
Jabari Parker,MIL,1,0,1,24.8,31,32,1,0,5,2,1,3.2,3.2,12%2F11%2F2015
Jae Crowder,BOS,1,0,1,47.8,43,40,3,0,3,4,2,7,4.7,12%2F11%2F2015
Jahlil Okafor,PHI,1,0,1,30.1,30,30,0,0,1,0,0,0,0,12%2F11%2F2015
Jameer Nelson,DEN,1,1,0,37.8,56,67,7,1,12,16,8,12.5,14.3,12%2F11%2F2015
James Johnson,TOR,1,1,0,10.7,11,11,0,1,1,0,1,0,9.1,12%2F11%2F2015
James Jones,CLE,1,1,0,18.4,24,29,0,0,0,0,0,0,0,12%2F11%2F2015
James Michael McAdoo,GSW,1,1,0,5.4,7,9,0,0,2,0,0,0,0,12%2F11%2F2015
James Young,BOS,1,0,1,19.9,16,12,2,0,2,5,2,12.5,12.5,12%2F11%2F2015
Jared Cunningham,CLE,1,1,0,23.2,23,25,2,2,2,5,4,8.7,17.4,12%2F11%2F2015
Jared Dudley,WAS,1,0,1,37.9,53,36,3,0,7,8,3,5.7,5.7,12%2F11%2F2015
Jared Sullinger,BOS,1,0,1,31.7,43,33,3,0,6,8,3,7,7,12%2F11%2F2015
Jason Smith,ORL,1,0,1,18.9,23,19,1,0,2,2,1,4.3,4.3,12%2F11%2F2015
Jeff Green,LAC,1,0,1,25.7,28,29,1,0,3,3,1,3.6,3.6,12%2F11%2F2015
Jeff Withey,UTA,1,0,1,11.4,13,13,0,0,1,2,1,0,7.7,12%2F11%2F2015
Jerami Grant,PHI,1,0,1,17.8,29,21,1,0,2,2,1,3.4,3.4,12%2F11%2F2015
Jeremy Lamb,CHA,1,1,0,16.9,14,16,0,0,1,0,0,0,0,12%2F11%2F2015
Jeremy Lin,CHA,1,1,0,26.9,41,51,2,2,10,8,6,4.9,14.6,12%2F11%2F2015
