Player,Team,GP,W,L,MIN,PassesMade,PassesReceived,AST,SecondaryAST,PotentialAST,AST PTSCreated...13,ASTAdj,AST ToPass%,AST ToPass% Adj,game_date
Ricky Rubio,MIN,1,1,0,32.5,66,79,14,1,19,29,15,21.2,22.7,10%2F28%2F2015
Robin Lopez,NYK,1,1,0,19.9,18,12,0,0,0,0,0,0,0,10%2F28%2F2015
Rodney Hood,UTA,1,0,1,29.4,29,40,6,0,6,12,6,20.7,20.7,10%2F28%2F2015
Rodney Stuckey,IND,1,0,1,24.2,28,39,2,0,6,4,2,7.1,7.1,10%2F28%2F2015
Rondae Hollis-Jefferson,BKN,1,0,1,24.3,22,16,0,0,0,0,0,0,0,10%2F28%2F2015
Ronnie Price,PHX,1,0,1,11.3,21,23,0,0,2,0,0,0,0,10%2F28%2F2015
Roy Hibbert,LAL,1,0,1,28.1,28,17,4,0,6,10,4,14.3,14.3,10%2F28%2F2015
Rudy Gay,SAC,1,0,1,31.4,32,30,3,1,5,7,4,9.4,12.5,10%2F28%2F2015
Rudy Gobert,UTA,1,0,1,37.4,75,46,1,0,4,2,1,1.3,1.3,10%2F28%2F2015
Russ Smith,MEM,1,0,1,6,7,10,0,0,1,0,0,0,0,10%2F28%2F2015
Russell Westbrook,OKC,1,1,0,37,62,86,10,1,20,27,13,16.1,21,10%2F28%2F2015
Ryan Anderson,NOP,1,0,1,38.5,46,42,1,0,1,3,1,2.2,2.2,10%2F28%2F2015
Ryan Kelly,LAL,1,0,1,20.6,34,17,3,1,5,8,4,8.8,11.8,10%2F28%2F2015
Salah Mejri,DAL,1,1,0,2.2,0,0,0,0,0,0,0,0,0,10%2F28%2F2015
Sam Dekker,HOU,1,0,1,1.5,1,2,0,0,0,0,0,0,0,10%2F28%2F2015
Sasha Kaun,CLE,1,1,0,6,8,5,1,0,2,5,2,12.5,25,10%2F28%2F2015
Sasha Vujacic,NYK,1,1,0,28.8,41,39,3,1,9,7,5,7.3,12.2,10%2F28%2F2015
Serge Ibaka,OKC,1,1,0,34,15,23,1,1,3,3,2,6.7,13.3,10%2F28%2F2015
Shabazz Muhammad,MIN,1,1,0,18.9,7,13,0,0,0,0,0,0,0,10%2F28%2F2015
Shane Larkin,BKN,1,0,1,23.2,50,55,8,1,10,17,9,16,18,10%2F28%2F2015
Sonny Weems,PHX,1,0,1,15.3,20,17,2,0,6,3,1,10,5,10%2F28%2F2015
Spencer Hawes,CHA,1,0,1,18.3,15,19,0,0,1,0,0,0,0,10%2F28%2F2015
Stanley Johnson,DET,1,1,0,19.6,23,21,0,1,0,0,1,0,4.3,10%2F28%2F2015
Steve Blake,DET,1,1,0,16.8,40,41,7,0,14,22,10,17.5,25,10%2F28%2F2015
Steven Adams,OKC,1,1,0,29.6,51,18,1,1,1,2,2,2,3.9,10%2F28%2F2015
T.J. McConnell,PHI,1,0,1,27.6,66,61,4,0,13,13,5,6.1,7.6,10%2F28%2F2015
T.J. Warren,PHX,1,0,1,20.1,22,30,0,0,2,1,1,0,4.5,10%2F28%2F2015
Taj Gibson,CHI,1,1,0,18.4,8,12,0,0,0,0,0,0,0,10%2F28%2F2015
Tayshaun Prince,MIN,1,1,0,14.6,5,4,1,0,2,3,1,20,20,10%2F28%2F2015
Terrence Jones,HOU,1,0,1,28.5,39,35,0,0,0,0,0,0,0,10%2F28%2F2015
Terrence Ross,TOR,1,1,0,8.5,2,6,1,0,1,2,1,50,50,10%2F28%2F2015
Terry Rozier,BOS,1,1,0,2,5,7,0,0,0,0,0,0,0,10%2F28%2F2015
Thaddeus Young,BKN,1,0,1,24.5,29,21,0,0,2,0,0,0,0,10%2F28%2F2015
Thomas Robinson,BKN,1,0,1,14.7,24,15,2,0,4,4,2,8.3,8.3,10%2F28%2F2015
Tim Duncan,SAS,1,0,1,26,39,28,0,0,1,0,0,0,0,10%2F28%2F2015
Timofey Mozgov,CLE,1,1,0,25.1,29,22,0,0,4,0,0,0,0,10%2F28%2F2015
Tobias Harris,DET,1,0,1,31.1,55,41,3,1,8,7,4,5.5,7.3,10%2F28%2F2015
Tony Allen,MEM,1,0,1,22.7,19,14,2,0,6,4,2,10.5,10.5,10%2F28%2F2015
Tony Parker,SAS,1,0,1,25.8,43,50,3,0,10,4,2,7,4.7,10%2F28%2F2015
Tony Snell,CHI,1,1,0,21.8,15,17,0,1,1,0,1,0,6.7,10%2F28%2F2015
Trevor Ariza,HOU,1,0,1,33.2,39,36,1,0,7,2,1,2.6,2.6,10%2F28%2F2015
Trey Burke,UTA,1,0,1,15.6,31,33,1,0,4,2,1,3.2,3.2,10%2F28%2F2015
Trey Lyles,UTA,1,0,1,8.2,13,9,1,0,2,2,1,7.7,7.7,10%2F28%2F2015
Tristan Thompson,CLE,1,1,0,20,23,13,1,0,1,2,1,4.3,4.3,10%2F28%2F2015
Ty Lawson,IND,1,0,1,36.7,60,66,6,1,13,15,7,10,11.7,10%2F28%2F2015
Tyler Zeller,BOS,1,1,0,10.7,16,13,0,0,1,0,0,0,0,10%2F28%2F2015
Tyson Chandler,PHX,1,0,1,17,24,11,1,0,1,3,1,4.2,4.2,10%2F28%2F2015
Udonis Haslem,MIA,1,1,0,10.6,7,6,1,0,0,2,1,14.3,14.3,10%2F28%2F2015
Victor Oladipo,ORL,1,0,1,36,44,46,2,0,9,4,2,4.5,4.5,10%2F28%2F2015
Wayne Ellington,BKN,1,0,1,12.1,14,15,1,1,2,2,2,7.1,14.3,10%2F28%2F2015
Wesley Johnson,LAC,1,1,0,10.6,4,5,0,0,1,0,0,0,0,10%2F28%2F2015
Wesley Matthews,DAL,1,1,0,26.1,18,18,1,0,2,2,1,5.6,5.6,10%2F28%2F2015
Will Barton,DEN,1,1,0,19.6,11,15,0,0,0,0,0,0,0,10%2F28%2F2015
Willie Cauley-Stein,SAC,1,0,1,7.9,7,5,0,0,0,0,0,0,0,10%2F28%2F2015
Zach LaVine,MIN,1,1,0,19.9,24,30,3,0,6,11,5,12.5,20.8,10%2F28%2F2015
Zach Randolph,MEM,1,0,1,30.9,27,28,0,0,1,0,0,0,0,10%2F28%2F2015
Zaza Pachulia,DAL,1,1,0,25,29,23,3,1,5,7,4,10.3,13.8,10%2F28%2F2015
Al Horford,ATL,1,1,0,30.6,51,49,1,0,5,2,1,2,2,10%2F29%2F2015
Austin Rivers,LAC,1,1,0,24.5,34,42,1,1,6,3,3,2.9,8.8,10%2F29%2F2015
Beno Udrih,MEM,1,1,0,17.8,43,48,6,1,10,14,7,14,16.3,10%2F29%2F2015
Blake Griffin,LAC,1,1,0,26.8,42,41,2,0,8,4,2,4.8,4.8,10%2F29%2F2015
Brandan Wright,MEM,1,1,0,15.4,12,10,0,0,1,0,0,0,0,10%2F29%2F2015
CJ Miles,IND,1,0,1,20.8,21,18,2,0,2,5,2,9.5,9.5,10%2F29%2F2015
Carmelo Anthony,NYK,1,0,1,31.9,29,46,3,0,5,7,3,10.3,10.3,10%2F29%2F2015
Charlie Villanueva,DAL,1,0,1,23,30,30,0,0,3,0,0,0,0,10%2F29%2F2015
Chase Budinger,PHX,1,0,1,13.3,10,13,3,0,3,6,3,30,30,10%2F29%2F2015
Chris Paul,LAC,1,1,0,24.4,42,49,5,0,10,12,5,11.9,11.9,10%2F29%2F2015
Cleanthony Early,NYK,1,0,1,1.2,2,1,0,0,0,0,0,0,0,10%2F29%2F2015
Cole Aldrich,LAC,1,1,0,6.9,10,7,0,0,2,0,0,0,0,10%2F29%2F2015
Courtney Lee,CHA,1,1,0,29.2,25,30,1,0,3,3,1,4,4,10%2F29%2F2015
DeAndre Jordan,LAC,1,1,0,25.9,32,9,2,0,1,2,1,6.3,3.1,10%2F29%2F2015
Dennis Schroder,ATL,1,1,0,18.3,34,49,2,1,6,7,4,5.9,11.8,10%2F29%2F2015
Derrick Williams,NYK,1,0,1,18.1,15,24,0,0,1,0,0,0,0,10%2F29%2F2015
Devin Harris,DAL,1,0,1,23.2,37,37,2,0,5,4,2,5.4,5.4,10%2F29%2F2015
Dirk Nowitzki,DAL,1,0,1,25,35,37,2,1,4,6,3,5.7,8.6,10%2F29%2F2015
Dwight Powell,DAL,1,0,1,19.1,36,18,0,0,5,0,0,0,0,10%2F29%2F2015
Edy Tavares,ATL,1,1,0,1.2,1,1,0,0,0,0,0,0,0,10%2F29%2F2015
George Hill,IND,1,0,1,38.8,70,86,4,1,6,12,6,5.7,8.6,10%2F29%2F2015
Ian Mahinmi,IND,1,0,1,29.5,35,24,0,2,2,2,3,0,8.6,10%2F29%2F2015
J.J. Barea,DAL,1,0,1,21.2,51,63,9,0,13,17,8,17.6,15.7,10%2F29%2F2015
JJ Redick,LAC,1,1,0,23.9,9,16,2,0,3,5,2,22.2,22.2,10%2F29%2F2015
JaMychal Green,MEM,1,1,0,12.8,18,16,0,0,0,0,0,0,0,10%2F29%2F2015
Jamal Crawford,LAC,1,1,0,17.4,14,20,2,0,5,5,2,14.3,14.3,10%2F29%2F2015
Jeff Green,LAC,1,1,0,29.1,28,27,3,2,4,7,5,10.7,17.9,10%2F29%2F2015
Jeff Teague,ATL,1,1,0,29.8,52,62,8,1,18,20,9,15.4,17.3,10%2F29%2F2015
Jeremy Evans,DAL,1,0,1,24,14,11,0,0,1,0,0,0,0,10%2F29%2F2015
Jerian Grant,NYK,1,0,1,28.8,54,53,7,0,11,17,7,13,13,10%2F29%2F2015
John Jenkins,PHX,1,0,1,35.3,51,58,3,0,11,8,3,5.9,5.9,10%2F29%2F2015
Jordan Hill,IND,1,0,1,19.8,23,18,0,0,2,0,0,0,0,10%2F29%2F2015
Jose Calderon,NYK,1,0,1,18.2,48,51,1,0,5,2,1,2.1,2.1,10%2F29%2F2015
Josh Smith,HOU,1,1,0,14.2,19,13,1,0,1,2,1,5.3,5.3,10%2F29%2F2015
Justin Anderson,DAL,1,0,1,18.4,21,22,1,0,2,4,2,4.8,9.5,10%2F29%2F2015
Justin Holiday,CHI,1,1,0,12.9,7,7,0,0,1,0,0,0,0,10%2F29%2F2015
Kent Bazemore,ATL,1,1,0,25.2,37,34,5,0,6,12,5,13.5,13.5,10%2F29%2F2015
Kristaps Porzingis,NYK,1,0,1,25.6,48,34,0,0,6,2,1,0,2.1,10%2F29%2F2015
Kyle Korver,ATL,1,1,0,32.3,23,20,2,0,3,7,3,8.7,13,10%2F29%2F2015
Kyle O'Quinn,NYK,1,0,1,22.1,47,30,3,0,5,7,4,6.4,8.5,10%2F29%2F2015
Lamar Patterson,ATL,1,1,0,21,23,22,0,1,2,0,1,0,4.3,10%2F29%2F2015
Lance Stephenson,MEM,1,1,0,20.9,15,19,2,0,1,4,2,13.3,13.3,10%2F29%2F2015
Lance Thomas,NYK,1,0,1,22.4,25,23,1,0,2,0,0,4,0,10%2F29%2F2015
Langston Galloway,NYK,1,0,1,25.3,37,36,3,0,6,7,3,8.1,8.1,10%2F29%2F2015
Lavoy Allen,IND,1,0,1,7.4,6,1,1,0,1,3,1,16.7,16.7,10%2F29%2F2015
Luc Mbah a Moute,LAC,1,1,0,6.9,3,3,1,0,2,2,1,33.3,33.3,10%2F29%2F2015
Marc Gasol,MEM,1,1,0,32.5,56,46,3,1,7,6,4,5.4,7.1,10%2F29%2F2015
Matt Barnes,MEM,1,1,0,21.1,23,17,1,0,1,3,1,4.3,4.3,10%2F29%2F2015
Mike Conley,MEM,1,1,0,30.3,54,64,10,0,18,23,11,18.5,20.4,10%2F29%2F2015
Mike Scott,ATL,1,1,0,11.2,11,9,1,0,0,2,1,9.1,9.1,10%2F29%2F2015
Monta Ellis,IND,1,0,1,32.3,42,51,3,0,9,8,3,7.1,7.1,10%2F29%2F2015
Myles Turner,IND,1,0,1,18,21,8,0,0,0,0,0,0,0,10%2F29%2F2015
Pablo Prigioni,LAC,1,1,0,7.1,6,11,1,0,3,2,1,16.7,16.7,10%2F29%2F2015
Paul George,IND,1,0,1,34.7,38,44,5,0,11,14,7,13.2,18.4,10%2F29%2F2015
Paul Millsap,ATL,1,1,0,34.5,47,41,5,0,6,13,5,10.6,10.6,10%2F29%2F2015
Paul Pierce,LAC,1,1,0,19.5,16,12,2,0,1,2,1,12.5,6.3,10%2F29%2F2015
Raymond Felton,DAL,1,0,1,25.3,43,47,4,0,8,11,5,9.3,11.6,10%2F29%2F2015
Robin Lopez,NYK,1,0,1,21.3,36,36,1,0,5,2,1,2.8,2.8,10%2F29%2F2015
Rodney Stuckey,IND,1,0,1,25.5,26,29,5,0,7,12,5,19.2,19.2,10%2F29%2F2015
Salah Mejri,DAL,1,0,1,7.2,8,6,0,0,0,0,0,0,0,10%2F29%2F2015
Sasha Vujacic,NYK,1,0,1,25.2,31,38,2,0,7,6,3,6.5,9.7,10%2F29%2F2015
Tiago Splitter,ATL,1,1,0,23.3,30,22,2,0,2,4,2,6.7,6.7,10%2F29%2F2015
Tony Allen,MEM,1,1,0,22.2,16,12,0,0,1,0,0,0,0,10%2F29%2F2015
Wesley Johnson,LAC,1,1,0,21.8,11,11,0,1,2,2,2,0,18.2,10%2F29%2F2015
Zach Randolph,MEM,1,1,0,29.6,24,29,2,0,4,5,2,8.3,8.3,10%2F29%2F2015
Zaza Pachulia,DAL,1,0,1,18.4,20,17,1,0,2,4,2,5,10,10%2F29%2F2015
Aaron Brooks,CHI,1,0,1,18,29,31,4,0,8,10,5,13.8,17.2,10%2F30%2F2015
Aaron Gordon,ORL,1,0,1,17.9,25,19,0,0,1,0,0,0,0,10%2F30%2F2015
Al Horford,ATL,1,1,0,34.9,44,46,3,0,11,7,4,6.8,9.1,10%2F30%2F2015
Al Jefferson,CHA,1,0,1,29.9,20,24,0,0,0,0,0,0,0,10%2F30%2F2015
Al-Farouq Aminu,POR,1,0,1,31.5,30,31,0,1,3,0,1,0,3.3,10%2F30%2F2015
Alec Burks,UTA,1,1,0,26.8,25,25,1,0,5,2,1,4,4,10%2F30%2F2015
Alex Len,PHX,1,1,0,18.8,23,18,1,0,2,2,1,4.3,4.3,10%2F30%2F2015
Allen Crabbe,POR,1,0,1,22.9,18,13,1,0,3,2,1,5.6,5.6,10%2F30%2F2015
Amar'e Stoudemire,MIA,1,0,1,12,12,8,0,0,3,0,0,0,0,10%2F30%2F2015
Amir Johnson,BOS,1,0,1,19,24,18,2,0,1,4,2,8.3,8.3,10%2F30%2F2015
Anderson Varejao,GSW,1,1,0,15.8,29,18,0,0,1,2,1,0,3.4,10%2F30%2F2015
Andre Drummond,DET,1,1,0,39.1,26,31,0,0,0,0,0,0,0,10%2F30%2F2015
Andre Iguodala,GSW,1,1,0,29.8,47,46,4,0,10,8,4,8.5,8.5,10%2F30%2F2015
Andre Roberson,OKC,1,1,0,18.8,8,7,0,0,0,0,0,0,0,10%2F30%2F2015
Andrea Bargnani,BKN,1,0,1,16.3,18,17,0,0,2,4,2,0,11.1,10%2F30%2F2015
Andrew Wiggins,MIN,1,1,0,30.7,16,31,1,0,4,2,2,6.3,12.5,10%2F30%2F2015
Anthony Bennett,TOR,1,1,0,2.7,6,1,0,0,0,0,0,0,0,10%2F30%2F2015
Anthony Brown,LAL,1,0,1,4.1,3,5,0,0,1,0,0,0,0,10%2F30%2F2015
Anthony Morrow,OKC,1,1,0,14.1,7,7,0,0,1,0,0,0,0,10%2F30%2F2015
Anthony Tolliver,DET,1,1,0,30.2,35,23,0,0,1,0,0,0,0,10%2F30%2F2015
Archie Goodwin,PHX,1,1,0,2.4,5,5,0,0,1,0,0,0,0,10%2F30%2F2015
Aron Baynes,DET,1,1,0,13.9,11,12,1,0,2,2,1,9.1,9.1,10%2F30%2F2015
Avery Bradley,BOS,1,0,1,29.7,29,37,3,1,8,8,4,10.3,13.8,10%2F30%2F2015
Ben McLemore,SAC,1,1,0,25,12,16,1,0,1,3,1,8.3,8.3,10%2F30%2F2015
Bismack Biyombo,TOR,1,1,0,16,9,5,0,0,0,0,0,0,0,10%2F30%2F2015
Boban Marjanovic,SAS,1,1,0,4.6,4,7,1,0,1,2,1,25,25,10%2F30%2F2015
Bojan Bogdanovic,BKN,1,0,1,19.6,13,15,0,0,0,0,0,0,0,10%2F30%2F2015
